ws_diff,ws_diff_bin,steps_diff
-39.0,"(-48, -16]",-1368.149468722784
-39.0,"(-48, -16]",2370.6133333333332
-39.0,"(-48, -16]",1454.4261352055667
-39.0,"(-48, -16]",-3911.4193411088704
-39.0,"(-48, -16]",-660.1503496503501
-39.0,"(-48, -16]",2084.342857142857
-39.0,"(-48, -16]",-592.2862745098041
-39.0,"(-48, -16]",2472.2446153846163
-39.0,"(-48, -16]",-2356.733333333333
-39.0,"(-48, -16]",-472.12999999999914
-39.0,"(-48, -16]",311.7820512820517
-39.0,"(-48, -16]",-1576.50700280112
-39.0,"(-48, -16]",-1267.9473684210525
-39.0,"(-48, -16]",-6885.8725
-39.0,"(-48, -16]",-678.8407717857554
-39.0,"(-48, -16]",423.6570512820512
-39.0,"(-48, -16]",47.0
-39.0,"(-48, -16]",-3083.001666666666
-39.0,"(-48, -16]",-2129.7993311036803
-39.0,"(-48, -16]",2577.305555555557
-39.0,"(-48, -16]",353.319327731092
-39.0,"(-48, -16]",1474.1046153846155
-39.0,"(-48, -16]",-2869.490100096634
-39.0,"(-48, -16]",-3660.0015384615385
-39.0,"(-48, -16]",2041.2634271099741
-39.0,"(-48, -16]",4698.869230769231
-39.0,"(-48, -16]",1106.5
-39.0,"(-48, -16]",-2351.25
-38.0,"(-48, -16]",-3038.6204545568635
-38.0,"(-48, -16]",694.205128205129
-38.0,"(-48, -16]",1059.9
-38.0,"(-48, -16]",5286.0
-38.0,"(-48, -16]",-1308.2777777777776
-38.0,"(-48, -16]",-370.73913043478206
-38.0,"(-48, -16]",34.74434782608705
-38.0,"(-48, -16]",-731.0819397993318
-38.0,"(-48, -16]",-1521.7743271221536
-38.0,"(-48, -16]",1754.75
-38.0,"(-48, -16]",5545.916666666666
-38.0,"(-48, -16]",-3575.1141967680833
-38.0,"(-48, -16]",-1981.0
-38.0,"(-48, -16]",-4519.381050748769
-38.0,"(-48, -16]",484.81360659764323
-38.0,"(-48, -16]",-279.8833333333332
-38.0,"(-48, -16]",2181.4710500710003
-38.0,"(-48, -16]",-3207.9230769230767
-38.0,"(-48, -16]",-536.8431023493335
-38.0,"(-48, -16]",579.7272727272725
-38.0,"(-48, -16]",-4691.6
-38.0,"(-48, -16]",-2618.75
-38.0,"(-48, -16]",-2986.393152526029
-38.0,"(-48, -16]",-8167.015151515153
-38.0,"(-48, -16]",-923.0333333333333
-38.0,"(-48, -16]",792.704710144928
-38.0,"(-48, -16]",-37.067307692307615
-38.0,"(-48, -16]",-307.969696969697
-38.0,"(-48, -16]",-1673.003105590063
-37.0,"(-48, -16]",-3190.7762418816474
-37.0,"(-48, -16]",3015.754782608696
-37.0,"(-48, -16]",-55.84414209600004
-37.0,"(-48, -16]",-265.27472527472537
-37.0,"(-48, -16]",213.50956937799043
-37.0,"(-48, -16]",4405.641538461538
-37.0,"(-48, -16]",5774.181666666666
-37.0,"(-48, -16]",-1422.671175732185
-37.0,"(-48, -16]",1154.0512820512822
-37.0,"(-48, -16]",-3627.8314285714287
-37.0,"(-48, -16]",-6776.0666666666675
-37.0,"(-48, -16]",-1019.2338029632609
-37.0,"(-48, -16]",42.30153846153871
-37.0,"(-48, -16]",1471.4122807017545
-37.0,"(-48, -16]",134.27272727272702
-37.0,"(-48, -16]",-1601.9588122201294
-37.0,"(-48, -16]",-3776.648175603882
-37.0,"(-48, -16]",22157.66666666667
-37.0,"(-48, -16]",-482.06547619047615
